volatile acidity,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,alcohol,quality,combined acidity
0.7,1.9,0.076,11.0,34.0,0.9978,0.56,9.4,5,0.0
0.88,2.6,0.098,25.0,67.0,0.9968,0.68,9.8,5,0.0
0.76,2.3,0.092,15.0,54.0,0.997,0.65,9.8,5,1.0171199999999998
0.28,1.9,0.075,17.0,60.0,0.998,0.58,9.8,6,19.81952
0.7,1.9,0.076,11.0,34.0,0.9978,0.56,9.4,5,0.0
0.66,1.8,0.075,13.0,40.0,0.9978,0.56,9.4,5,0.0
0.6,1.6,0.069,15.0,59.0,0.9964,0.46,9.4,5,1.5642
0.65,1.2,0.065,15.0,21.0,0.9946,0.47,10.0,7,0.0
0.58,2.0,0.073,9.0,18.0,0.9968,0.57,9.5,7,0.52416
0.5,6.1,0.071,17.0,102.0,0.9978,0.8,10.5,5,9.045
0.58,1.8,0.097,15.0,65.0,0.9959,0.54,9.2,5,1.7580799999999999
0.5,6.1,0.071,17.0,102.0,0.9978,0.8,10.5,5,9.045
0.615,1.6,0.089,16.0,59.0,0.9943,0.52,9.9,5,0.0
0.61,1.6,0.114,9.0,29.0,0.9974,1.56,9.1,5,7.374119999999999
0.62,3.8,0.176,52.0,145.0,0.9986,0.88,9.2,5,5.062320000000001
0.62,3.9,0.17,51.0,148.0,0.9986,0.93,9.2,5,5.36047
0.28,1.8,0.092,35.0,103.0,0.9969,0.75,10.5,7,15.708
0.56,1.7,0.368,16.0,56.0,0.9968,1.28,9.3,5,7.05348
0.59,4.4,0.086,6.0,29.0,0.9974,0.5,9.0,4,2.00096
0.32,1.8,0.341,17.0,56.0,0.9969,1.08,9.2,6,12.24816
0.22,1.8,0.077,29.0,60.0,0.9968,0.53,9.4,6,14.482080000000002
0.39,2.3,0.082,23.0,71.0,0.9982,0.65,9.7,5,8.29312
0.43,1.6,0.106,10.0,37.0,0.9966,0.91,9.5,5,5.25903
0.49,2.3,0.084,9.0,67.0,0.9968,0.53,9.4,5,2.96395
0.4,2.4,0.085,21.0,40.0,0.9968,0.63,9.7,6,3.3133800000000004
0.39,1.4,0.08,11.0,23.0,0.9955,0.56,9.3,5,3.36672
0.41,1.8,0.08,4.0,11.0,0.9962,0.59,9.5,5,5.982719999999999
0.43,1.6,0.106,10.0,37.0,0.9966,0.91,9.5,5,5.25903
0.71,1.9,0.08,14.0,35.0,0.9972,0.55,9.4,5,0.0
0.645,2.0,0.082,8.0,16.0,0.9964,0.59,9.8,6,0.0
0.675,2.4,0.089,17.0,82.0,0.9958,0.54,10.1,5,1.5711500000000003
0.685,2.5,0.105,22.0,37.0,0.9966,0.57,10.6,6,0.0
0.655,2.3,0.083,15.0,113.0,0.9966,0.66,9.8,5,3.15732
0.605,10.7,0.073,40.0,83.0,0.9993,0.52,9.4,6,2.8566000000000003
0.32,1.8,0.103,13.0,50.0,0.9957,0.55,9.2,5,4.394
0.645,5.5,0.086,5.0,18.0,0.9986,0.55,9.6,6,0.0
0.6,2.4,0.086,3.0,15.0,0.9975,0.6,10.8,6,3.73464
0.38,2.1,0.066,13.0,30.0,0.9968,0.73,9.7,7,7.325640000000001
1.13,1.5,0.172,7.0,19.0,0.994,0.48,9.8,4,1.7954999999999999
0.45,5.9,0.074,12.0,87.0,0.9978,0.83,10.5,5,8.75124
0.45,5.9,0.074,12.0,87.0,0.9978,0.83,10.5,5,8.75124
0.61,2.8,0.088,17.0,46.0,0.9976,0.51,9.3,4,8.606399999999999
0.49,2.6,0.332,8.0,14.0,0.9968,0.9,10.5,6,4.815
0.66,2.2,0.069,9.0,23.0,0.9968,1.2,10.3,5,5.880599999999999
0.67,1.8,0.05,5.0,11.0,0.9962,0.52,9.5,5,0.47328
0.52,2.1,0.054,8.0,65.0,0.9934,0.56,13.1,4,2.6909999999999994
0.935,2.2,0.114,22.0,114.0,0.997,0.73,9.2,5,10.760750000000002
0.29,1.6,0.113,12.0,37.0,0.9969,0.58,9.5,5,14.703
0.4,1.6,0.066,5.0,12.0,0.9958,0.56,9.2,5,4.916480000000001
0.31,1.4,0.074,12.0,96.0,0.9954,0.58,9.2,5,6.87904
0.66,1.7,0.074,4.0,23.0,0.9971,0.74,9.2,5,7.207200000000001
0.52,2.2,0.069,8.0,15.0,0.9956,0.63,9.4,6,0.8976
0.5,2.1,0.068,6.0,14.0,0.9955,0.64,9.4,6,0.89496
0.38,3.0,0.081,30.0,119.0,0.997,0.56,9.4,5,9.9072
0.51,2.8,0.11,33.0,73.0,0.9955,0.63,10.2,6,3.6137999999999995
0.62,3.8,0.084,25.0,45.0,0.9978,0.53,9.5,5,1.02872
0.42,3.4,0.07,4.0,10.0,0.9971,0.63,9.6,5,17.67456
0.63,5.1,0.111,50.0,110.0,0.9983,0.77,9.4,5,2.9339999999999997
0.59,2.3,0.076,17.0,54.0,0.9975,0.59,10.0,5,4.81572
0.39,2.4,0.074,9.0,46.0,0.9962,0.54,9.4,6,7.71683
0.4,2.2,0.079,19.0,52.0,0.998,0.64,9.2,5,12.108800000000002
0.69,1.8,0.115,20.0,112.0,0.9968,0.71,9.3,5,12.111329999999999
0.52,1.9,0.085,12.0,35.0,0.9968,0.62,9.5,7,4.056
0.735,2.0,0.081,13.0,54.0,0.9966,0.57,9.8,5,1.1865
0.725,4.65,0.086,4.0,11.0,0.9962,0.39,10.9,5,1.2276000000000002
0.725,4.65,0.086,4.0,11.0,0.9962,0.39,10.9,5,1.2276000000000002
0.52,1.5,0.079,11.0,39.0,0.9968,0.58,9.6,5,2.8215
0.705,1.6,0.076,6.0,15.0,0.9962,0.58,10.7,5,1.58928
0.32,2.0,0.074,27.0,65.0,0.9969,0.79,10.7,5,17.38728
0.705,1.9,0.074,8.0,19.0,0.9962,0.95,10.5,6,1.336
0.63,1.9,0.076,15.0,27.0,0.9967,0.54,9.5,6,2.04512
0.67,2.1,0.088,17.0,96.0,0.9962,0.48,9.5,5,5.87972
0.69,1.9,0.084,18.0,94.0,0.9961,0.48,9.5,5,5.60714
0.675,2.1,0.084,11.0,43.0,0.9976,0.53,9.2,4,7.1429800000000006
0.32,2.5,0.094,28.0,83.0,0.9984,0.82,9.6,5,17.18064
0.41,2.2,0.093,9.0,42.0,0.9986,0.66,10.5,5,19.937280000000005
0.41,2.2,0.093,9.0,42.0,0.9986,0.66,10.5,5,19.937280000000005
0.785,2.4,0.104,14.0,30.0,0.9966,0.55,10.7,6,0.0
0.75,2.0,0.086,12.0,80.0,0.9958,0.52,10.1,5,2.71752
0.625,1.5,0.08,27.0,119.0,0.9972,1.12,9.1,4,5.245600000000001
0.45,1.6,0.069,3.0,15.0,0.9958,0.56,9.2,5,4.228400000000001
0.43,1.9,0.464,22.0,67.0,0.9974,1.28,9.4,5,17.089799999999997
0.5,2.0,0.086,21.0,73.0,0.997,0.57,9.1,5,11.68608
0.67,1.8,0.401,16.0,51.0,0.9969,1.14,9.4,5,5.997680000000001
0.3,1.8,0.069,18.0,61.0,0.9959,0.78,10.3,6,10.40256
0.55,2.2,0.076,19.0,40.0,0.9961,0.59,10.1,5,3.5293500000000004
0.49,1.9,0.11,20.0,136.0,0.9972,1.95,9.9,6,7.055440000000001
0.49,1.9,0.062,9.0,31.0,0.9966,0.64,9.6,5,6.78678
0.39,2.1,0.107,34.0,125.0,0.9978,1.22,9.5,5,12.848880000000001
0.62,1.8,0.076,8.0,24.0,0.9978,0.53,9.0,5,1.9488
0.52,1.9,0.079,42.0,140.0,0.9964,0.54,9.5,5,6.63442
0.49,1.9,0.11,20.0,136.0,0.9972,1.95,9.9,6,7.055440000000001
0.49,2.0,0.11,19.0,133.0,0.9972,1.98,9.8,5,7.30742
0.49,1.9,0.062,9.0,31.0,0.9966,0.64,9.6,5,6.78678
1.02,1.4,0.045,41.0,85.0,0.9938,0.48,10.5,4,0.75
0.6,2.3,0.058,17.0,106.0,0.9932,0.6,12.9,6,3.0761500000000006
0.775,3.0,0.102,8.0,23.0,0.9965,0.56,10.7,5,0.0
0.5,2.0,0.07,3.0,22.0,0.9963,0.63,9.2,5,5.6875
0.9,2.5,0.079,5.0,10.0,0.9967,0.56,9.8,5,1.5458399999999999
0.545,1.9,0.08,13.0,35.0,0.9972,0.59,9.0,6,4.811399999999999
0.61,2.1,0.084,11.0,50.0,0.9972,0.61,10.2,6,8.466000000000001
0.5,1.9,0.075,8.0,22.0,0.9959,0.56,10.4,6,7.7454
0.545,1.9,0.08,13.0,35.0,0.9972,0.59,9.0,6,4.811399999999999
0.575,2.1,0.077,12.0,65.0,0.9967,0.51,9.2,5,5.86278
0.49,2.2,0.07,5.0,36.0,0.996,0.48,9.4,5,5.75424
0.575,2.1,0.077,12.0,65.0,0.9967,0.51,9.2,5,5.86278
0.41,1.7,0.467,18.0,69.0,0.9973,1.31,9.3,5,16.33632
0.63,1.7,0.088,15.0,64.0,0.9969,0.79,9.3,5,6.65012
0.33,2.5,0.091,18.0,80.0,0.9976,0.8,9.6,6,14.288800000000002
0.785,2.0,0.122,37.0,153.0,0.9969,0.69,9.3,5,13.52052
0.56,1.8,0.104,12.0,47.0,0.9964,0.93,9.5,5,4.72758
0.62,2.2,0.084,11.0,108.0,0.9964,0.66,9.8,5,2.3814
0.6,2.2,0.085,14.0,111.0,0.9964,0.66,9.8,5,2.6460000000000004
0.31,2.3,0.08,22.0,46.0,0.9988,0.67,9.7,6,14.754079999999998
0.56,1.8,0.104,12.0,47.0,0.9964,0.93,9.5,5,4.72758
0.4,2.2,0.09,13.0,62.0,0.9966,0.63,10.5,6,8.94598
0.54,1.9,0.077,11.0,40.0,0.9978,0.61,10.0,6,7.878360000000002
0.56,2.0,0.082,7.0,28.0,0.997,0.5,9.4,6,3.1543200000000002
0.55,2.2,0.119,14.0,56.0,0.9962,0.6,10.9,6,1.12992
0.69,1.8,0.097,22.0,89.0,0.9959,0.54,9.2,6,1.8704
1.07,1.7,0.178,10.0,89.0,0.9962,0.57,9.0,5,2.1681
0.55,2.2,0.119,14.0,56.0,0.9962,0.6,10.9,6,1.12992
0.695,2.5,0.075,3.0,13.0,0.998,0.52,9.2,5,0.0
0.71,2.6,0.08,11.0,34.0,0.9976,0.53,9.5,5,0.0
0.5,1.6,0.082,21.0,102.0,0.996,0.48,9.5,5,4.49514
0.62,1.9,0.146,27.0,90.0,0.9984,0.7,9.4,5,1.1376000000000002
1.33,1.7,0.081,3.0,12.0,0.9964,0.49,10.9,5,0.0
1.33,1.8,0.082,3.0,12.0,0.9964,0.48,10.9,5,0.0
0.59,1.8,0.065,3.0,16.0,0.9962,0.92,10.5,7,4.3776
0.38,1.8,0.072,6.0,19.0,0.9955,0.57,9.4,5,3.1292999999999997
0.745,2.0,0.118,30.0,134.0,0.9968,0.66,9.4,5,14.515200000000002
0.5,2.3,0.049,17.0,99.0,0.9937,0.63,13.0,5,1.8295199999999998
0.5,2.3,0.049,17.0,99.0,0.9937,0.63,13.0,5,1.8295199999999998
0.5,1.5,0.06,17.0,26.0,0.9952,0.58,9.8,6,0.2244
1.04,2.2,0.084,13.0,29.0,0.9959,0.55,9.9,6,1.2719000000000003
0.745,1.9,0.09,16.0,63.0,0.9965,0.82,9.6,5,2.9475599999999997
0.715,1.8,0.089,10.0,52.0,0.9968,0.77,9.5,5,4.02135
0.415,2.0,0.081,13.0,45.0,0.9972,0.64,9.2,5,9.02016
0.56,2.1,0.081,15.0,105.0,0.9962,0.54,9.5,5,4.93506
0.56,2.0,0.081,17.0,108.0,0.9962,0.54,9.5,5,4.92024
0.745,1.9,0.09,16.0,63.0,0.9965,0.82,9.6,5,2.9475599999999997
0.715,1.8,0.089,10.0,52.0,0.9968,0.77,9.5,5,4.02135
0.34,1.8,0.05,27.0,63.0,0.9916,0.79,14.0,6,0.0
0.39,1.7,0.066,3.0,20.0,0.9954,0.58,9.4,5,1.68336
0.34,1.8,0.05,27.0,63.0,0.9916,0.79,14.0,6,0.0
0.67,1.8,0.117,32.0,141.0,0.9968,0.62,9.4,5,14.12235
0.68,1.8,0.087,21.0,94.0,0.9944,0.52,10.0,5,0.41064
0.49,1.6,0.236,10.0,88.0,0.9968,0.8,9.3,5,6.14536
0.49,2.3,0.074,12.0,30.0,0.9959,0.58,10.2,6,2.3598
0.4,2.8,0.089,11.0,43.0,0.9975,0.61,10.5,6,12.736239999999997
0.33,2.1,0.077,5.0,11.0,0.9958,0.53,10.3,6,11.425229999999999
0.52,3.4,0.61,32.0,69.0,0.9996,2.0,9.4,4,25.208
0.6,1.8,0.095,25.0,99.0,0.995,0.54,10.1,5,0.7537499999999999
0.6,1.8,0.095,25.0,99.0,0.995,0.54,10.1,5,0.7537499999999999
0.43,5.5,0.07,29.0,129.0,0.9973,0.72,10.5,5,10.19844
0.43,5.5,0.071,28.0,128.0,0.9973,0.71,10.5,5,10.19844
0.43,5.5,0.07,29.0,129.0,0.9973,0.72,10.5,5,10.19844
0.43,5.5,0.071,28.0,128.0,0.9973,0.71,10.5,5,10.19844
0.68,2.2,0.073,12.0,22.0,0.9969,0.5,9.3,5,0.0
0.6,1.9,0.079,18.0,86.0,0.9968,0.57,9.3,6,4.394159999999999
0.95,2.0,0.09,7.0,20.0,0.9959,0.56,9.6,5,0.7296
0.68,1.3,0.072,9.0,20.0,0.9965,1.08,9.2,4,0.48184
0.53,1.7,0.076,17.0,31.0,0.9964,0.56,10.0,6,1.03896
0.6,7.3,0.07,36.0,121.0,0.9982,0.49,9.4,5,6.483880000000001
0.59,7.2,0.07,35.0,121.0,0.9981,0.49,9.4,5,6.39626
0.63,1.7,0.1,14.0,96.0,0.9961,0.62,9.5,5,11.943359999999998
0.64,2.1,0.085,18.0,101.0,0.9956,0.52,10.2,5,2.2712
0.55,1.6,0.072,17.0,42.0,0.9956,0.48,9.0,4,0.73803
0.63,2.1,0.089,11.0,44.0,0.9953,0.55,10.4,6,1.65172
0.705,1.8,0.36,15.0,63.0,0.9964,1.59,9.5,5,5.3999999999999995
0.885,1.8,0.058,4.0,8.0,0.9972,0.33,9.1,4,0.79632
0.42,2.0,0.073,6.0,18.0,0.9972,0.61,9.2,6,4.4744
0.42,2.0,0.073,6.0,18.0,0.9972,0.61,9.2,6,4.4744
0.62,1.9,0.068,24.0,42.0,0.9961,0.57,11.5,6,1.2654
0.38,2.0,0.08,7.0,35.0,0.9961,0.47,9.5,5,5.10489
0.5,1.5,0.085,19.0,49.0,0.9958,0.78,9.5,5,0.9246000000000001
0.38,2.0,0.08,7.0,35.0,0.9961,0.47,9.5,5,5.10489
0.52,2.3,0.087,8.0,38.0,0.9972,0.61,10.5,6,11.277000000000001
0.805,2.5,0.068,7.0,20.0,0.9969,0.56,9.6,5,0.0
0.61,2.4,0.067,10.0,42.0,0.9969,0.59,9.5,5,3.9300800000000007
0.61,2.4,0.067,10.0,42.0,0.9969,0.59,9.5,5,3.9300800000000007
0.61,2.0,0.27,23.0,110.0,0.9972,1.02,9.3,5,13.60632
0.73,2.5,0.076,16.0,42.0,0.9972,0.52,9.3,5,0.49536
0.61,1.8,0.077,11.0,65.0,0.9971,0.58,9.3,5,4.8144
0.62,1.9,0.079,8.0,62.0,0.997,0.58,9.3,6,4.95264
0.31,2.0,0.111,26.0,85.0,0.9971,0.53,9.7,5,16.537979999999997
0.39,2.0,0.082,14.0,67.0,0.9972,0.55,9.2,5,11.86368
0.705,2.6,0.084,9.0,26.0,0.9976,0.49,9.7,5,2.6103000000000005
0.5,2.0,0.084,15.0,143.0,0.9968,0.55,9.5,5,8.342400000000001
0.49,1.9,0.082,17.0,144.0,0.9968,0.55,9.5,5,8.0896
0.5,2.9,0.077,21.0,127.0,0.9976,0.62,9.4,5,9.270099999999998
0.37,1.9,0.074,21.0,49.0,0.9974,0.62,9.8,6,5.712
0.63,3.8,0.099,16.0,126.0,0.9969,0.61,9.5,5,2.6764799999999997
0.55,2.2,0.071,7.0,28.0,0.9964,0.55,9.7,5,5.2348799999999995
0.55,2.2,0.071,7.0,28.0,0.9964,0.55,9.7,5,5.2348799999999995
0.59,2.0,0.074,24.0,120.0,0.9968,0.54,9.4,5,8.365499999999999
0.58,2.4,0.074,15.0,55.0,0.9968,0.59,10.2,5,7.577399999999999
0.3,2.0,0.067,12.0,27.0,0.9981,0.97,10.1,6,21.459
0.835,1.2,0.046,13.0,93.0,0.9924,0.85,13.0,7,1.5422399999999998
1.09,2.1,0.061,12.0,31.0,0.9948,0.43,11.4,4,1.45314
0.32,1.4,0.056,9.0,24.0,0.99695,0.82,10.3,7,14.52864
0.37,2.1,0.097,39.0,145.0,0.9975,1.03,9.3,5,12.84096
0.5,1.5,0.075,16.0,49.0,0.99545,0.79,9.5,5,2.51328
0.42,1.6,0.088,16.0,39.0,0.9961,0.55,9.2,5,8.183
0.43,1.6,0.089,14.0,37.0,0.99615,0.56,9.2,6,8.416799999999999
0.3,2.6,0.095,9.0,28.0,0.9994,0.77,10.8,7,30.310400000000005
0.3,2.6,0.095,9.0,28.0,0.9994,0.77,10.8,7,30.310400000000005
0.57,1.8,0.069,26.0,120.0,0.99625,0.53,9.3,5,7.95522
0.44,2.7,0.1,18.0,95.0,0.9966,0.67,9.4,5,7.0324800000000005
0.3,2.1,0.054,7.0,19.0,0.998,0.88,10.5,7,21.1178
0.53,2.0,0.039,5.0,19.0,0.99585,0.86,12.4,6,19.206
0.725,2.8,0.083,10.0,62.0,0.99685,0.56,10.0,6,6.4319999999999995
0.44,2.1,0.059,5.0,15.0,0.998,0.67,10.2,6,23.831039999999998
0.57,2.2,0.06,28.0,65.0,0.9959,0.43,10.1,5,7.035599999999999
0.735,2.4,0.092,10.0,41.0,0.9974,0.71,9.8,6,2.02176
0.49,5.6,0.06,26.0,121.0,0.9974,0.76,10.5,5,11.456199999999999
0.625,2.0,0.101,13.0,49.0,0.9962,0.57,11.0,5,4.37088
0.725,2.2,0.072,11.0,41.0,0.9967,0.55,9.1,5,5.987519999999999
0.49,1.9,0.076,10.0,44.0,0.9957,0.54,9.7,5,4.83075
0.53,2.4,0.08,24.0,144.0,0.99655,0.6,9.5,5,8.4942
0.34,2.0,0.082,24.0,58.0,0.9964,0.59,9.4,6,9.63924
0.53,2.0,0.101,16.0,72.0,0.9957,0.57,9.4,5,6.0606
0.61,1.5,0.057,5.0,10.0,0.99525,0.6,9.5,5,0.9302400000000001
0.645,2.0,0.083,8.0,28.0,0.99815,0.6,10.0,6,7.052
0.635,2.0,0.089,15.0,55.0,0.99745,0.57,10.4,4,10.00944
0.43,2.6,0.073,29.0,63.0,0.99615,0.58,10.5,6,6.48725
0.59,2.0,0.337,27.0,81.0,0.9964,1.61,9.5,6,13.528
0.82,2.6,0.089,9.0,23.0,0.9984,0.63,9.8,5,4.271400000000001
0.43,2.6,0.073,29.0,63.0,0.99615,0.58,10.5,6,6.48725
0.52,2.6,0.081,10.0,37.0,0.99685,0.5,11.0,5,5.968500000000001
0.48,1.6,0.054,19.0,106.0,0.9927,0.62,12.2,7,0.7363200000000001
0.38,1.8,0.078,12.0,49.0,0.99625,0.52,9.9,6,1.6176
0.37,2.8,0.09,18.0,58.0,0.998,0.7,9.6,6,5.678000000000001
0.52,2.6,0.081,10.0,37.0,0.99685,0.5,11.0,5,5.968500000000001
1.0,2.3,0.065,7.0,37.0,0.99685,0.55,9.0,6,2.4501599999999994
0.63,1.9,0.097,14.0,38.0,0.99675,0.58,9.0,6,0.0
0.63,1.9,0.097,14.0,38.0,0.99675,0.58,9.0,6,0.0
0.645,1.9,0.097,15.0,39.0,0.99675,0.58,9.2,6,0.0
0.63,1.9,0.097,14.0,38.0,0.99675,0.58,9.0,6,0.0
1.0,2.3,0.065,7.0,37.0,0.99685,0.55,9.0,6,2.4501599999999994
0.635,1.7,0.263,5.0,62.0,0.9971,1.09,9.3,5,9.879000000000001
0.38,2.1,0.093,6.0,24.0,0.99925,0.71,10.9,6,21.100800000000003
0.58,1.8,0.102,28.0,109.0,0.99565,0.49,9.8,6,2.3716000000000004
0.21,2.2,0.075,10.0,24.0,1.00005,0.84,9.2,7,20.262
0.21,2.2,0.075,10.0,24.0,1.00005,0.84,9.2,7,20.262
0.66,2.0,0.084,6.0,23.0,0.9983,0.96,9.9,6,0.0
0.68,1.9,0.075,16.0,51.0,0.99685,0.52,9.5,5,1.67986
0.6,2.3,0.072,11.0,73.0,0.9963,0.45,9.3,5,4.4608
0.53,1.7,0.074,9.0,39.0,0.99615,0.48,9.8,6,1.5477
0.66,2.0,0.084,6.0,23.0,0.9983,0.96,9.9,6,0.0
0.32,1.6,0.063,16.0,37.0,0.9985,0.78,10.0,6,15.301440000000001
0.6,1.8,0.074,16.0,34.0,0.9972,0.7,9.9,6,0.0
0.35,3.1,0.09,5.0,21.0,0.9986,0.53,10.5,5,16.88976
0.775,1.9,0.092,8.0,86.0,0.9959,0.59,9.5,5,10.44582
0.6,1.8,0.074,16.0,34.0,0.9972,0.7,9.9,6,0.0
0.57,3.2,0.073,17.0,119.0,0.99675,0.57,9.3,5,5.9984
0.34,2.2,0.075,5.0,13.0,0.998,0.62,9.2,5,11.199160000000001
0.695,2.1,0.075,12.0,56.0,0.9968,0.67,9.2,5,0.0
0.41,1.8,0.611,8.0,45.0,0.9968,1.26,9.4,5,17.907120000000003
0.31,2.6,0.085,14.0,33.0,0.99965,0.8,10.5,7,15.792
0.33,1.7,0.077,18.0,45.0,0.99625,0.65,9.3,5,5.977930000000001
0.975,2.0,0.087,12.0,67.0,0.99565,0.6,9.4,4,0.938
0.52,1.7,0.07,10.0,35.0,0.99575,0.57,10.0,5,0.8016
0.37,1.8,0.077,23.0,49.0,0.9963,0.67,9.3,5,5.95976
0.56,2.4,0.064,5.0,27.0,0.9999,0.87,10.9,5,18.865
0.26,1.8,0.071,6.0,10.0,0.9968,0.72,10.2,7,19.635200000000005
0.87,3.3,0.096,26.0,61.0,1.00025,0.72,9.8,4,0.0
0.35,3.6,0.078,15.0,37.0,0.9973,0.86,12.8,8,12.173900000000001
0.54,3.0,0.077,7.0,27.0,0.9987,0.91,9.4,6,1.01844
0.18,4.0,0.104,4.0,23.0,0.9996,0.97,10.1,6,19.2372
0.545,4.0,0.087,27.0,61.0,0.9965,0.67,10.7,6,1.59264
0.18,4.0,0.104,4.0,23.0,0.9996,0.97,10.1,6,19.2372
0.37,4.0,0.071,17.0,65.0,0.99935,0.78,10.1,5,20.356840000000002
0.715,2.4,0.076,10.0,38.0,0.99735,0.64,9.4,5,5.5608
0.65,7.0,0.088,27.0,94.0,0.99915,0.77,9.4,5,4.563
0.545,4.0,0.087,27.0,61.0,0.9965,0.67,10.7,6,1.59264
0.54,3.0,0.077,7.0,27.0,0.9987,0.91,9.4,6,1.01844
0.18,4.0,0.104,4.0,23.0,0.9996,0.97,10.1,6,19.2372
0.32,6.4,0.073,5.0,13.0,0.9976,0.82,12.6,8,14.971050000000004
0.4,5.6,0.087,10.0,47.0,0.9991,0.77,10.5,7,9.626240000000001
0.26,3.6,0.071,6.0,19.0,0.9986,0.82,9.3,6,15.649920000000002
0.27,3.5,0.358,5.0,10.0,0.9972,1.08,9.9,7,17.017000000000003
0.52,3.0,0.067,12.0,53.0,0.9971,0.57,9.1,5,3.0643199999999995
0.4,5.6,0.087,10.0,47.0,0.9991,0.77,10.5,7,9.626240000000001
0.59,3.4,0.102,32.0,71.0,1.00015,0.71,9.8,5,2.2938300000000003
0.59,3.4,0.102,32.0,71.0,1.00015,0.71,9.8,5,2.2938300000000003
0.45,2.0,0.073,25.0,49.0,0.9997,0.76,10.3,6,20.460000000000004
0.4,3.0,0.092,29.0,53.0,0.9967,0.7,10.3,6,3.0330000000000004
0.52,2.5,0.091,20.0,49.0,0.9976,0.86,10.6,7,2.6152199999999994
0.42,3.3,0.105,33.0,98.0,1.001,0.95,9.2,5,19.6736
0.52,2.5,0.091,20.0,49.0,0.9976,0.86,10.6,7,2.6152199999999994
0.2,2.0,0.343,6.0,18.0,0.9979,0.71,10.5,5,17.424
0.55,2.7,0.091,18.0,48.0,0.9994,0.64,10.3,6,7.7022400000000015
0.36,2.4,0.098,5.0,16.0,0.9964,0.6,10.1,6,5.882250000000001
0.34,3.2,0.094,17.0,53.0,1.0014,0.81,9.5,6,21.093799999999998
0.5,2.5,0.073,5.0,27.0,1.0001,0.64,9.5,5,15.1524
0.83,2.6,0.086,26.0,70.0,0.9981,0.52,9.9,5,12.39352
0.63,2.0,0.083,8.0,29.0,0.99855,0.73,9.6,5,1.5634199999999998
0.65,2.3,0.094,5.0,31.0,0.9993,0.8,9.7,5,0.52848
0.67,2.1,0.08,8.0,33.0,0.99845,0.71,9.6,5,1.5235200000000002
0.53,2.6,0.086,20.0,44.0,0.9965,0.59,10.7,6,1.521
0.18,1.5,0.068,7.0,15.0,0.9973,0.64,10.1,6,17.15616
0.705,2.6,0.092,12.0,28.0,0.9994,0.72,10.0,5,3.4959599999999997
0.67,1.6,0.186,5.0,21.0,0.996,0.54,9.5,5,3.01032
0.65,2.1,0.112,12.0,90.0,0.9973,0.52,9.2,5,16.128
0.53,2.5,0.063,6.0,25.0,0.9998,0.59,9.3,6,15.42528
0.62,2.2,0.082,7.0,54.0,0.9966,0.52,9.4,5,8.17152
0.41,2.4,0.213,6.0,14.0,0.9994,0.62,9.5,6,13.79994
0.43,2.4,0.214,5.0,12.0,0.9994,0.63,9.5,6,14.45708
0.29,1.7,0.062,9.0,30.0,0.9968,0.53,9.5,6,9.588920000000002
0.53,2.5,0.063,6.0,25.0,0.9998,0.59,9.3,6,15.42528
0.53,2.0,0.072,15.0,105.0,0.996,0.54,9.4,6,6.1999200000000005
0.46,2.8,0.093,19.0,98.0,0.99815,0.63,9.5,6,9.2628
0.47,3.0,0.076,30.0,135.0,0.9976,0.53,9.4,5,8.514
0.36,2.6,0.087,26.0,72.0,0.99645,0.68,11.0,5,7.27494
0.35,2.5,0.096,20.0,53.0,0.9962,0.65,11.0,6,7.041779999999999
0.56,3.4,0.102,37.0,92.0,0.9996,0.65,10.1,5,7.2863999999999995
0.77,2.9,0.082,30.0,74.0,0.99865,0.64,10.4,6,3.801599999999999
0.66,3.2,0.083,21.0,59.0,0.9989,0.71,11.5,7,12.880140000000003
0.77,2.9,0.082,30.0,74.0,0.99865,0.64,10.4,6,3.801599999999999
0.66,3.2,0.083,21.0,59.0,0.9989,0.71,11.5,7,12.880140000000003
