volatile acidity,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,alcohol,quality,combined acidity
0.61,3.4,0.09,25.0,87.0,0.99975,0.62,9.7,5,7.834320000000002
0.62,2.3,0.079,6.0,18.0,0.99735,0.63,9.3,5,1.2831000000000001
0.59,2.8,0.09,35.0,73.0,0.999,0.7,9.5,6,14.189279999999998
0.49,11.0,0.071,13.0,50.0,1.0015,0.69,9.2,6,6.32
0.49,11.0,0.071,13.0,50.0,1.0015,0.69,9.2,6,6.32
0.53,3.65,0.121,6.0,14.0,0.9978,0.74,11.5,7,23.3508
0.44,4.5,0.107,5.0,13.0,0.998,0.83,11.5,5,16.892
0.27,2.6,0.082,6.0,21.0,1.0002,0.67,9.7,6,26.25328
0.46,2.0,0.061,7.0,15.0,0.9981,0.62,9.5,5,13.27014
0.36,2.9,0.122,10.0,41.0,0.998,0.66,12.5,6,21.08544
0.36,2.9,0.122,10.0,41.0,0.998,0.66,12.5,6,21.08544
0.58,3.2,0.066,21.0,114.0,0.9973,0.54,9.4,6,7.212800000000001
0.56,2.1,0.105,16.0,44.0,0.9958,0.52,11.0,5,2.1033600000000003
0.65,2.5,0.078,17.0,38.0,0.9963,0.74,11.7,7,0.26386
0.695,3.4,0.128,7.0,21.0,0.9992,0.84,12.2,7,19.993190000000002
0.43,1.9,0.052,6.0,16.0,0.9948,0.7,12.5,6,13.41675
0.43,2.8,0.08,29.0,58.0,0.9974,0.64,10.3,5,8.26176
0.49,3.0,0.103,28.0,99.0,1.0008,1.0,11.5,6,22.72672
0.28,2.3,0.082,12.0,29.0,0.9997,1.36,9.8,7,20.9925
0.34,2.4,0.066,10.0,21.0,1.0,1.18,9.2,6,19.032
0.42,2.7,0.065,5.0,18.0,0.9972,0.87,11.3,6,16.332479999999997
0.39,1.8,0.118,6.0,14.0,0.9982,0.75,9.8,6,16.9059
0.39,1.8,0.118,6.0,14.0,0.9982,0.75,9.8,6,16.9059
0.57,2.6,0.082,6.0,32.0,1.0006,0.78,10.7,6,18.564
0.685,1.9,0.067,40.0,63.0,0.9979,0.81,9.9,5,0.0
0.815,2.7,0.072,17.0,34.0,0.9955,0.89,12.3,7,0.47256000000000004
0.49,3.0,0.093,6.0,15.0,0.9986,0.93,12.0,6,27.92292
0.56,2.8,0.089,15.0,46.0,0.9979,0.92,10.0,6,9.25536
0.785,2.6,0.093,11.0,28.0,0.9994,0.86,9.4,6,0.0
0.67,2.7,0.107,17.0,34.0,1.0004,0.98,9.9,6,7.721119999999999
0.795,2.6,0.096,11.0,26.0,0.9994,0.83,9.4,6,0.0
0.665,2.4,0.09,8.0,19.0,0.9974,0.73,9.3,5,0.0
0.53,4.8,0.12,23.0,77.0,1.0018,0.77,13.0,5,33.9147
0.21,1.4,0.066,40.5,165.0,0.9912,0.59,11.9,6,7.93
0.75,2.4,0.078,17.0,32.0,0.9955,0.61,12.8,6,0.23785
0.41,3.0,0.08,29.0,55.0,1.0001,0.88,11.0,5,19.494799999999998
0.42,2.95,0.116,12.0,29.0,0.997,0.75,11.7,7,22.453200000000002
0.43,3.1,0.109,10.0,23.0,1.0,0.85,10.4,7,24.7401
0.38,2.6,0.088,10.0,41.0,1.001,0.68,9.8,6,26.361720000000002
0.7,2.0,0.099,14.0,81.0,0.9973,0.7,9.4,5,6.01634
0.45,2.6,0.086,21.0,50.0,0.9982,0.91,9.9,6,8.98442
0.58,2.5,0.072,6.0,37.0,0.9992,0.56,10.0,5,23.954700000000003
0.46,2.0,0.071,6.0,15.0,0.9988,0.87,10.2,5,23.54625
0.615,5.8,0.083,7.0,42.0,1.0022,0.73,10.0,7,25.93536
0.42,3.4,0.107,7.0,21.0,0.9979,0.93,11.8,6,16.299999999999997
0.615,5.8,0.083,7.0,42.0,1.0022,0.73,10.0,7,25.93536
0.575,2.6,0.076,11.0,24.0,1.0,0.69,9.0,5,20.047040000000003
0.34,2.8,0.159,15.0,75.0,0.9998,0.64,9.4,5,17.032080000000004
0.27,2.4,0.074,6.0,18.0,0.9962,1.13,12.0,7,15.942400000000001
0.765,2.3,0.063,35.0,63.0,0.9975,0.78,9.9,5,0.49266
0.24,1.6,0.056,11.0,25.0,0.9967,0.87,8.7,6,10.491200000000001
0.28,1.8,0.067,26.0,46.0,0.9967,1.04,10.6,6,14.501759999999997
0.55,2.2,0.106,12.0,72.0,0.9959,0.63,9.2,5,4.9654
0.41,3.8,0.089,6.0,47.0,1.0014,0.81,10.8,6,26.5482
0.54,4.4,0.124,6.0,15.0,0.9984,0.83,11.8,7,24.576649999999994
0.45,3.0,0.078,19.0,47.0,1.0003,1.11,11.0,6,18.744999999999997
0.27,2.4,0.074,6.0,18.0,0.9962,1.13,12.0,7,15.942400000000001
0.625,6.2,0.088,6.0,24.0,0.9988,0.99,13.3,6,23.39964
0.42,2.5,0.094,24.0,60.0,0.9979,0.7,10.8,6,10.43974
0.26,2.0,0.08,11.0,27.0,0.9974,0.8,9.4,6,11.190059999999999
0.415,2.9,0.085,17.0,43.0,1.0014,0.8,10.0,6,28.50696
0.26,2.0,0.08,11.0,27.0,0.9974,0.8,9.4,6,11.190059999999999
0.26,2.0,0.08,11.0,27.0,0.9974,0.8,9.4,6,11.190059999999999
0.51,2.1,0.087,23.0,54.0,0.998,0.74,9.2,5,7.373520000000001
0.63,2.4,0.09,11.0,37.0,0.9979,0.76,9.7,6,1.7767400000000002
0.54,2.0,0.088,23.0,48.0,0.9981,0.74,9.2,6,6.91548
0.66,1.9,0.079,17.0,42.0,0.9972,0.54,9.6,6,4.120950000000001
0.46,1.9,0.088,23.0,53.0,0.9981,0.74,9.2,6,6.956040000000001
0.38,2.5,0.096,16.0,49.0,0.9982,0.7,10.0,7,9.49344
0.85,1.4,0.045,12.0,88.0,0.9924,0.82,12.9,8,0.9968
0.415,2.9,0.085,17.0,43.0,1.0014,0.8,10.0,6,28.50696
0.37,2.0,0.082,6.0,26.0,0.998,0.51,9.5,5,15.709200000000001
0.665,2.0,0.112,13.0,95.0,0.997,0.54,9.1,5,16.191840000000003
0.6,2.3,0.063,6.0,25.0,0.9997,0.57,9.9,5,25.012649999999997
0.37,4.2,0.066,7.0,38.0,1.0004,0.6,13.0,7,29.366400000000002
0.735,7.9,0.122,68.0,124.0,0.9994,0.53,9.9,5,0.45804
0.59,2.6,0.087,13.0,49.0,0.9988,0.65,11.0,6,21.5763
0.59,2.6,0.087,13.0,49.0,0.9988,0.65,11.0,6,21.5763
0.765,2.3,0.064,9.0,42.0,0.9963,0.55,9.4,5,5.9334
0.735,7.9,0.122,68.0,124.0,0.9994,0.53,9.9,5,0.45804
0.26,1.7,0.059,20.0,38.0,0.9949,0.47,10.8,6,7.5999
0.48,2.6,0.085,19.0,64.0,1.0,0.61,10.5,6,20.422800000000002
0.6,2.7,0.085,10.0,41.0,0.9994,0.63,10.5,6,17.595899999999997
0.69,2.7,0.075,15.0,27.0,0.9974,0.61,9.1,5,1.2551
0.31,1.4,0.059,11.0,25.0,0.9966,0.76,10.1,6,13.44672
0.44,2.5,0.063,9.0,28.0,0.9981,0.65,10.8,6,14.923440000000001
0.39,3.0,0.093,12.0,30.0,0.9996,0.63,10.8,7,25.185600000000004
0.34,3.7,0.174,6.0,16.0,0.997,0.7,11.3,6,19.24208
0.46,4.5,0.07,26.0,49.0,0.9981,0.57,9.6,4,18.68125
0.43,2.5,0.08,26.0,86.0,0.9987,0.62,9.5,6,10.3428
0.45,2.4,0.08,23.0,78.0,0.9987,0.62,9.5,5,10.7653
0.735,1.9,0.1,15.0,77.0,0.9966,0.64,9.3,5,3.71472
0.4,6.7,0.097,6.0,19.0,0.9986,0.82,11.7,7,17.157690000000002
0.52,2.7,0.087,24.0,122.0,0.9982,0.61,9.5,5,9.75392
0.725,6.6,0.117,31.0,134.0,1.0014,1.07,9.3,5,6.852479999999999
0.48,2.2,0.111,6.0,20.0,0.997,0.66,11.7,6,22.11584
0.58,1.9,0.091,34.0,124.0,0.9956,0.48,10.5,5,2.8895999999999997
0.38,2.0,0.121,7.0,20.0,0.9996,0.76,10.4,6,19.663560000000004
0.77,1.8,0.066,34.0,52.0,0.9976,0.68,9.9,5,0.0
0.56,2.4,0.089,35.0,67.0,0.9972,0.73,11.8,7,10.2828
0.84,2.3,0.059,32.0,48.0,0.9952,0.56,12.3,7,0.6969599999999999
0.96,2.0,0.047,15.0,60.0,0.9955,0.44,10.9,5,5.1744
0.24,2.1,0.066,6.0,24.0,0.9978,0.9,11.0,7,15.545249999999998
0.96,2.0,0.047,15.0,60.0,0.9955,0.44,10.9,5,5.1744
0.84,2.3,0.059,32.0,48.0,0.9952,0.56,12.3,7,0.6969599999999999
0.67,2.1,0.045,19.0,48.0,0.9949,0.49,11.4,6,1.7868800000000002
0.78,1.9,0.077,6.0,32.0,0.9988,0.56,10.6,6,6.8134
0.52,1.3,0.07,9.0,30.0,0.9978,0.6,9.3,5,9.72972
0.84,2.4,0.088,13.0,35.0,0.9997,0.6,10.4,6,24.998400000000004
0.24,2.1,0.066,6.0,24.0,0.9978,0.9,11.0,7,15.545249999999998
0.55,2.2,0.074,21.0,66.0,0.9974,0.56,9.2,5,8.872499999999999
0.37,2.3,0.078,12.0,24.0,0.9958,0.65,12.8,6,24.633
0.39,2.3,0.091,6.0,18.0,1.0004,0.49,9.5,5,24.48684
0.41,3.2,0.076,22.0,54.0,0.9996,0.89,9.9,6,18.018
0.39,2.3,0.091,6.0,18.0,1.0004,0.49,9.5,5,24.48684
0.67,2.0,0.06,38.0,62.0,0.9958,0.56,10.2,6,7.823999999999999
0.45,3.2,0.066,6.0,22.0,0.9986,0.66,11.2,6,25.68651
0.41,3.2,0.076,22.0,54.0,0.9996,0.89,9.9,6,18.018
0.62,1.5,0.062,7.0,50.0,0.9951,0.6,9.3,5,3.8808000000000002
0.31,2.2,0.072,6.0,29.0,0.9987,0.82,9.8,8,26.127359999999996
0.4,2.15,0.068,7.0,27.0,0.9988,0.68,11.3,6,23.6691
0.685,3.7,0.1,6.0,43.0,1.0032,0.68,11.2,7,34.9752
0.44,2.7,0.077,11.0,19.0,0.9963,0.63,11.6,7,15.826999999999998
0.57,1.7,0.054,5.0,27.0,0.9934,0.84,12.5,7,0.18921
0.735,2.1,0.079,6.0,31.0,0.9986,0.56,10.1,6,3.0685000000000002
0.38,2.6,0.081,31.0,72.0,0.9996,0.73,10.5,5,23.25
0.48,2.1,0.127,6.0,16.0,0.9968,0.72,11.2,5,8.68434
0.53,2.0,0.1,7.0,27.0,0.9967,0.56,10.2,6,6.0544
0.39,2.8,0.095,17.0,35.0,0.9994,0.61,10.8,6,25.454099999999997
0.39,2.8,0.095,17.0,35.0,0.9994,0.61,10.8,6,25.454099999999997
0.37,1.8,0.413,9.0,26.0,0.9979,1.06,9.1,6,13.623120000000002
0.56,1.7,0.084,18.0,35.0,0.9968,0.63,10.0,6,0.7017599999999999
0.33,2.8,0.084,5.0,22.0,0.9998,0.74,11.2,7,21.359519999999996
0.23,1.6,0.063,21.0,67.0,0.9952,0.63,11.1,5,9.8
0.62,5.2,0.086,6.0,19.0,0.9988,0.69,13.4,8,24.378620000000005
0.59,2.3,0.095,5.0,22.0,0.9986,0.58,10.3,5,11.697270000000001
0.63,2.7,0.097,29.0,65.0,0.9988,0.58,9.6,5,6.336959999999999
0.33,2.8,0.084,5.0,22.0,0.9998,0.74,11.2,7,21.359519999999996
0.58,2.2,0.074,10.0,47.0,1.0008,0.57,9.0,3,24.881999999999998
0.43,2.3,0.083,14.0,23.0,0.9976,0.61,11.3,6,16.0264
0.615,2.6,0.087,6.0,19.0,0.9982,0.61,9.3,5,5.95276
0.26,2.55,0.085,10.0,25.0,0.997,0.61,11.8,5,23.786400000000004
0.66,2.2,0.098,25.0,129.0,0.9972,0.53,9.0,5,17.4636
0.315,2.1,0.084,5.0,15.0,0.9987,0.7,9.2,6,18.505800000000004
0.29,2.9,0.098,10.0,26.0,1.0006,0.91,9.7,5,13.92
0.5,2.0,0.069,21.0,51.0,0.9982,0.72,11.5,6,13.670160000000001
0.46,2.6,0.065,7.0,18.0,0.9947,0.79,14.0,6,13.147200000000002
0.36,2.1,0.09,6.0,21.0,1.0,0.62,9.2,6,24.935219999999997
0.82,1.2,0.07,36.0,48.0,0.9952,0.58,9.8,5,0.5568
0.32,2.6,0.093,15.0,47.0,0.9996,0.61,10.6,5,25.7725
0.54,2.4,0.081,25.0,52.0,0.997,0.71,11.4,6,12.902399999999998
0.37,2.6,0.083,25.0,68.0,0.9995,0.82,10.4,6,21.65625
0.35,2.1,0.062,5.0,14.0,0.9971,0.79,10.6,5,17.750700000000002
0.28,1.7,0.08,10.0,24.0,0.9982,0.89,9.4,6,17.136000000000003
0.68,2.2,0.087,5.0,28.0,0.9988,0.6,10.2,5,7.234559999999999
0.27,2.0,0.091,6.0,16.0,0.998,0.7,9.7,5,12.506639999999999
0.24,1.8,0.075,6.0,20.0,0.9977,1.06,11.0,6,16.205280000000002
0.68,2.2,0.087,5.0,28.0,0.9988,0.6,10.2,5,7.234559999999999
0.685,2.7,0.077,6.0,31.0,0.9984,0.7,10.1,6,3.29846
0.28,15.5,0.069,6.0,23.0,1.0026,0.66,9.2,5,12.898080000000002
0.3,2.8,0.08,6.0,17.0,0.9964,0.92,11.7,8,16.5816
0.36,2.2,0.152,6.0,18.0,0.9986,1.05,9.4,5,19.012159999999998
0.36,2.2,0.152,7.0,18.0,0.9986,1.06,9.4,5,19.3344
0.44,4.1,0.114,6.0,24.0,0.997,0.66,13.4,6,22.05648
0.67,1.9,0.054,6.0,17.0,0.9976,0.47,10.0,5,12.610259999999998
0.67,1.9,0.054,6.0,17.0,0.9976,0.47,10.0,5,12.610259999999998
0.645,1.8,0.053,5.0,14.0,0.9982,0.42,10.0,6,11.640239999999999
0.32,2.8,0.081,35.0,67.0,1.0002,0.92,10.8,7,21.181600000000003
0.39,2.6,0.073,10.0,26.0,0.9984,0.75,10.2,6,12.424800000000001
0.775,2.8,0.078,24.0,56.0,0.9984,0.67,10.6,6,8.31141
0.41,2.5,0.055,12.0,25.0,0.9952,0.79,13.3,7,15.363999999999999
0.4,2.6,0.052,13.0,27.0,0.995,0.9,13.4,7,15.069479999999999
0.69,3.0,0.086,23.0,81.0,1.0002,0.74,11.6,6,9.385559999999998
0.39,8.3,0.051,28.0,91.0,0.9952,0.55,12.1,6,5.1428
0.35,2.6,0.07,5.0,16.0,0.9972,0.65,11.0,8,17.86365
0.52,1.9,0.081,14.0,38.0,0.9984,0.65,9.0,6,6.6885
0.34,2.5,0.09,43.0,113.0,0.9966,0.79,11.1,5,7.64928
0.35,2.6,0.07,5.0,16.0,0.9972,0.65,11.0,8,17.86365
0.69,3.0,0.086,23.0,81.0,1.0002,0.74,11.6,6,9.385559999999998
0.52,1.9,0.081,14.0,38.0,0.9984,0.65,9.0,6,6.6885
0.44,6.55,0.074,38.0,76.0,0.999,0.85,12.0,7,24.066640000000003
0.44,6.55,0.074,38.0,76.0,0.999,0.85,12.0,7,24.066640000000003
0.26,1.9,0.078,6.0,24.0,0.9976,1.04,10.9,7,15.693299999999999
0.24,1.8,0.077,6.0,22.0,0.9976,1.05,10.8,7,14.156099999999999
0.49,2.9,0.072,10.0,26.0,0.9968,0.78,12.5,7,20.30616
0.24,1.8,0.075,6.0,21.0,0.9976,1.02,10.8,7,15.548000000000002
0.67,2.3,0.084,6.0,13.0,1.0,0.71,9.5,6,19.5272
0.59,2.2,0.09,26.0,62.0,0.9994,0.63,10.2,6,9.858
0.29,2.8,0.084,23.0,43.0,0.9986,0.68,11.4,7,30.324
0.42,4.6,0.073,19.0,43.0,0.9978,0.61,9.5,5,18.34952
0.59,2.2,0.09,26.0,62.0,0.9994,0.63,10.2,6,9.858
0.4,2.1,0.125,15.0,49.0,0.998,0.81,9.7,6,15.562079999999996
0.51,2.4,0.107,6.0,15.0,0.9973,0.66,11.8,7,20.7648
0.51,2.4,0.107,6.0,15.0,0.9973,0.66,11.8,7,20.7648
0.655,6.1,0.122,34.0,151.0,1.001,1.14,9.3,5,13.786150000000001
0.6,4.3,0.1,5.0,14.0,1.001,0.74,11.9,6,19.90625
0.61,2.1,0.2,5.0,16.0,0.9994,0.63,8.4,3,16.103360000000002
0.21,2.8,0.088,11.0,32.0,0.9972,0.68,11.7,6,17.198020000000003
0.365,2.5,0.088,39.0,106.0,0.9966,0.78,11.0,5,12.018719999999998
0.25,2.7,0.088,15.0,33.0,0.9982,0.9,10.0,6,16.422839999999997
0.41,2.0,0.088,16.0,43.0,0.998,0.64,9.1,5,12.95952
0.39,2.3,0.099,47.0,133.0,0.9979,0.99,9.8,5,13.580839999999998
0.4,2.5,0.085,38.0,142.0,0.9978,0.55,9.4,5,14.673540000000003
0.43,2.4,0.086,23.0,116.0,0.9976,0.64,9.5,5,14.560839999999999
0.64,2.8,0.105,29.0,53.0,0.9998,0.67,9.9,5,8.087040000000002
0.365,2.5,0.088,39.0,106.0,0.9966,0.78,11.0,5,12.018719999999998
0.38,2.5,0.097,33.0,85.0,0.9962,0.77,11.4,6,11.6277
0.42,2.6,0.084,32.0,55.0,0.9988,0.75,8.7,6,13.420119999999999
0.63,2.4,0.077,6.0,33.0,0.9974,0.57,9.4,5,7.34184
0.22,2.1,0.078,1.0,28.0,0.999,0.87,10.3,6,7.447439999999999
0.38,2.7,0.098,12.0,42.0,1.0004,0.61,10.3,5,18.425960000000003
0.38,2.7,0.098,12.0,42.0,1.0004,0.61,10.3,5,18.425960000000003
0.27,2.1,0.072,15.0,33.0,0.9956,0.66,12.8,6,7.959840000000001
0.48,2.7,0.102,13.0,32.0,1.0,0.56,10.0,6,7.871999999999999
0.22,2.1,0.078,1.0,28.0,0.999,0.87,10.3,6,7.447439999999999
0.63,2.4,0.077,6.0,33.0,0.9974,0.57,9.4,5,7.34184
0.825,2.1,0.084,5.0,13.0,0.9972,0.77,10.7,6,6.55128
0.35,5.8,0.066,5.0,35.0,1.0014,0.66,12.0,7,20.2272
0.5,5.15,0.1,5.0,17.0,0.9996,0.62,11.2,5,26.687359999999998
0.59,3.3,0.101,20.0,47.0,0.9988,0.67,9.6,5,7.198079999999999
0.46,6.3,0.064,5.0,17.0,0.9988,0.73,11.0,6,14.94255
0.715,2.1,0.07,5.0,20.0,0.9966,0.59,9.9,5,6.96384
0.66,2.5,0.085,16.0,53.0,0.9993,0.72,11.0,6,8.22528
0.31,1.8,0.075,6.0,15.0,1.0008,0.79,8.4,6,30.26452
0.47,2.6,0.094,38.0,106.0,0.9982,0.59,9.1,5,13.73372
0.55,2.0,0.078,10.0,28.0,0.9983,0.78,9.5,6,6.21
0.31,2.5,0.067,6.0,21.0,0.9987,0.86,10.7,6,16.93244
0.35,2.6,0.079,27.0,69.0,0.9994,0.75,10.4,6,18.95712
0.53,1.9,0.171,6.0,25.0,0.9975,0.61,9.4,6,14.4207
0.51,2.1,0.074,9.0,25.0,0.9958,0.56,9.5,6,0.22643999999999997
0.43,2.8,0.092,14.0,45.0,0.998,0.73,10.0,6,7.1966399999999995
0.46,2.7,0.092,14.0,44.0,0.998,0.74,10.0,6,7.1136
1.04,1.6,0.05,32.0,96.0,0.9934,0.62,11.5,5,4.488
0.645,4.2,0.095,10.0,23.0,1.00315,0.74,11.1,5,22.1774
0.645,4.2,0.095,10.0,23.0,1.00315,0.74,11.1,5,22.1774
0.53,4.6,0.118,10.0,17.0,1.0002,0.56,11.7,6,16.39687
0.645,4.2,0.095,10.0,23.0,1.00315,0.74,11.1,5,22.32048
0.53,4.6,0.118,10.0,17.0,1.0002,0.56,11.7,6,16.39687
0.47,4.3,0.085,6.0,47.0,1.0021,0.68,12.7,6,21.020999999999997
0.6,2.8,0.075,5.0,19.0,0.9994,0.57,11.4,5,19.54022
0.44,2.4,0.078,26.0,121.0,0.9978,0.58,9.2,5,14.244299999999999
0.54,2.9,0.094,41.0,110.0,0.9982,0.61,9.2,5,13.582799999999999
0.29,2.7,0.092,25.0,60.0,0.9971,0.61,10.1,6,12.32644
0.47,4.3,0.085,6.0,47.0,1.0021,0.68,12.7,6,21.020999999999997
0.6,2.8,0.075,5.0,19.0,0.9994,0.57,11.4,5,19.54022
0.7,2.5,0.226,5.0,15.0,0.9991,0.6,9.0,6,6.932159999999999
0.7,2.5,0.226,5.0,15.0,0.9991,0.6,9.0,6,6.932159999999999
0.5,2.6,0.25,5.0,20.0,0.999,0.79,10.7,6,15.894620000000002
0.36,2.2,0.095,19.0,42.0,0.9946,0.57,11.7,6,5.3121599999999995
0.35,3.3,0.07,10.0,37.0,1.0003,0.91,11.0,6,18.708199999999998
0.36,2.2,0.095,19.0,42.0,0.9946,0.57,11.7,6,5.3121599999999995
0.24,2.4,0.075,10.0,28.0,0.9978,0.61,10.4,5,15.693719999999999
0.59,2.1,0.07,14.0,47.0,0.9991,0.56,9.6,4,16.9785
0.34,3.2,0.078,20.0,78.0,0.9992,0.7,10.0,6,16.56886
0.27,3.1,0.079,28.0,46.0,0.9993,0.8,10.2,6,19.286400000000004
0.5,2.3,0.103,6.0,14.0,0.9978,0.52,10.0,4,7.935840000000001
0.44,2.8,0.083,18.0,111.0,0.9982,0.6,9.5,5,14.2296
0.47,2.9,0.085,17.0,110.0,0.9982,0.6,9.8,5,14.186480000000001
0.31,2.2,0.063,18.0,40.0,0.9976,0.51,9.8,6,16.30916
0.5,2.2,0.089,5.0,14.0,1.0002,0.44,9.6,5,19.22613
0.5,2.2,0.089,5.0,14.0,1.0002,0.44,9.6,5,19.22613
0.49,2.2,0.083,5.0,15.0,1.0,0.43,9.2,5,18.28827
0.28,1.9,0.074,10.0,21.0,0.9976,0.66,9.9,7,17.522399999999998
0.33,3.4,0.093,54.0,80.0,1.0002,0.76,10.7,7,19.080599999999997
0.51,2.4,0.091,8.0,38.0,0.998,0.66,9.6,6,6.32928
0.31,2.7,0.094,16.0,47.0,0.9986,1.02,10.6,7,16.96968
0.73,1.9,0.108,18.0,102.0,0.9967,0.59,9.3,5,5.711519999999999
0.42,2.0,0.06,19.0,50.0,0.9917,0.74,14.0,8,4.464
0.29,2.6,0.059,5.0,13.0,0.9976,0.74,10.5,7,15.243899999999998
0.45,2.6,0.084,21.0,75.0,0.9987,0.57,9.7,5,14.7735
0.39,1.7,0.07,23.0,149.0,0.9922,0.5,11.5,6,10.090079999999999
0.45,2.6,0.084,21.0,75.0,0.9987,0.57,9.7,5,14.7735
0.49,3.5,0.094,9.0,43.0,1.0004,0.58,9.0,5,18.891180000000002
0.72,2.6,0.096,20.0,38.0,0.9978,0.53,9.5,5,4.5662
0.595,7.9,0.086,30.0,109.0,0.9998,0.57,9.3,5,11.93223
0.4,2.0,0.059,6.0,24.0,0.9994,0.6,9.3,6,19.224960000000003
0.58,1.9,0.071,5.0,18.0,0.998,0.63,10.0,6,21.32718
0.585,2.1,0.078,5.0,30.0,0.9967,0.48,9.8,6,4.896
0.59,2.3,0.082,11.0,22.0,1.0,0.7,9.3,6,17.145
0.915,2.1,0.088,7.0,23.0,0.9962,0.47,10.0,4,7.217639999999999
0.46,2.2,0.071,12.0,35.0,1.0006,0.56,9.0,6,21.2784
0.835,2.6,0.081,6.0,14.0,0.9975,0.52,9.3,5,0.0
0.46,2.2,0.071,12.0,35.0,1.0006,0.56,9.0,6,21.2784
0.58,2.9,0.096,14.0,63.0,0.9984,0.62,9.1,6,3.42043
0.6,2.6,0.085,6.0,24.0,0.9984,0.59,9.2,6,3.5714900000000003
0.41,4.6,0.072,10.0,20.0,0.9973,0.79,12.2,7,15.070079999999999
0.48,3.3,0.092,26.0,52.0,0.9982,0.53,10.5,6,11.942480000000002
0.65,5.1,0.11,11.0,65.0,1.0026,0.64,10.4,6,12.406839999999999
0.36,3.2,0.075,15.0,39.0,0.9956,0.52,12.7,6,4.26132
0.24,2.5,0.083,25.0,57.0,0.9983,0.54,9.2,5,16.109280000000002
0.38,2.7,0.081,5.0,16.0,1.0006,0.54,9.4,5,21.634800000000002
0.64,2.4,0.077,18.0,29.0,0.9965,0.6,10.0,6,0.0
0.39,1.5,0.058,10.0,29.0,0.9962,0.74,9.8,5,10.158159999999999
0.755,2.2,0.148,10.0,103.0,0.9969,1.36,10.2,6,4.75272
0.6,2.3,0.079,28.0,71.0,0.9997,0.57,9.7,5,16.8
0.6,2.3,0.079,28.0,71.0,0.9997,0.57,9.7,5,16.8
0.31,2.2,0.079,14.0,28.0,0.9982,0.93,9.8,6,17.77095
0.46,2.7,0.122,4.0,17.0,1.0006,0.7,10.2,5,17.841
0.37,2.3,0.088,6.0,16.0,0.9988,0.8,9.3,5,14.31597
0.54,3.4,0.076,16.0,112.0,0.9976,0.61,9.4,5,6.51384
0.56,3.4,0.078,14.0,104.0,0.9976,0.62,9.4,5,6.18608
0.58,1.9,0.08,9.0,32.0,0.9974,0.55,9.5,5,6.885999999999999
0.51,2.9,0.077,21.0,45.0,0.9974,0.96,12.1,6,6.89275
0.69,5.6,0.124,21.0,58.0,0.9997,0.72,10.2,5,0.0
0.69,5.6,0.124,21.0,58.0,0.9997,0.72,10.2,5,0.0
0.6,2.2,0.098,5.0,15.0,0.9988,0.49,9.1,5,8.57472
0.6,2.2,0.098,5.0,15.0,0.9988,0.49,9.1,5,8.57472
0.54,2.5,0.097,7.0,31.0,0.9976,0.6,9.3,6,7.396739999999999
0.685,2.3,0.111,20.0,84.0,0.9964,0.61,9.3,5,5.611079999999999
0.54,2.5,0.097,7.0,31.0,0.9976,0.6,9.3,6,7.396739999999999
0.28,2.7,0.105,5.0,19.0,0.9988,0.63,9.5,5,18.252000000000002
0.41,3.0,0.087,21.0,43.0,0.9964,0.57,10.5,6,3.53248
0.935,3.4,0.105,11.0,86.0,1.001,0.64,11.3,4,7.62146
0.35,1.9,0.073,46.0,102.0,0.9964,0.58,9.5,5,5.42493
0.84,1.4,0.065,24.0,33.0,0.9954,0.55,9.7,5,0.0
0.88,2.4,0.086,30.0,147.0,0.9979,0.53,9.4,5,8.70912
0.885,2.3,0.084,31.0,145.0,0.9978,0.53,9.4,5,8.3106
0.915,2.2,0.143,7.0,23.0,0.9964,0.65,10.2,7,3.0954
